"data","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Greece","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Switzerland","United Kingdom","Montenegro","North Macedonia","Serbia","Turkey"
"2014-01","1638700","298853","648635","1828160","11325456","120548","1503799","943218","9007027","9064682","153122","7120013","246258","308448","220606","137003","549132","199354","3938947","1807004","1512769","1752776","682187","75317","67546","1252591","2171020","182345","2495009","3238296","13470310",":",":",":",":"
"2014-02","1608226","274571","606615","1849478","11091453","113710","1492142","887154","8844369","8617924","141801","6679993","229216","275750","201503","137109","523710","193334","3772322","1779141","1454630","1674701","624684","75132","60235","1226866","2142331","177948","2539066","3172123","13249170",":",":",":",":"
"2014-03","2004797","314591","810876","2211547","13601984","149286","1797047","1079638","11106476","10378139","186427","8342385","306090","331701","240029","176868","659573","263404","4492598","2108523","1679867","2108793","726588","86324","74434","1426007","2515145","228468","2957999","3760274","15519953",":",":",":",":"
"2014-04","2505099","350849","948014","2477638","15024355","159035","2217914","1955110","13704291","11763853","375079","10153809","534378","397080","314497","212059","750537","376940","5077273","2189347","1916665","2811629","869071","99129","97310","1420894","2707337","260049","3067109","3906753","18075203",":",":",":",":"
"2014-05","2619815","511137","1037450","2633488","16813839","186132","2411882","3771893","15007861","12405522","602715","10903623","745245","425332","374149","226912","803513","402098","5621495","2330573","2274462","3021240","920899","107401","105317","1465517","2978260","303140","3256373","3869086","19861998",":",":",":",":"
"2014-06","2683507","1080830","1265173","2879167","17740470","200877","2628941","5377590","16622395","12867582","794425","11893121","873571","486863","390726","238155","857524","424329","5645814","2483100","2611773","3151622","1044960","127746","184032","1609155","3237905","453383","3781196","4096298","21296412",":",":",":",":"
"2014-07","3065902","1396172","1392495","3066779","18487775","212112","2871256","6628494","18749280","13913622","1093161","13192302","1008904","513811","398776","241377","934635","511411","6073347","2571197","2896960","3642049","1151537","147871","302119","1563729","3105789","544982","3832517","4497861","22976005",":",":",":",":"
"2014-08","3103037","1452946","1429282","2813026","19425021","208671","2861199","7000561","19714262","14548741","1105922","13842982","1063336","507467","398920","265677","931501","551450","6263574","2645521","2917421","3853854","1165977","162798","287902","1537721","3070232","535310","3510699","4603622","23782567",":",":",":",":"
"2014-09","2872608","852992","1317820","2678508","18911048","195525","2461078","5542649","17167348","11434540","815629","12263280","881034","448863","364973","238743","865929","463215","5805826","2519181","2685396","3392435","1094131","143071","199914","1495137","3033431","368447","3448621","4185618","21599908",":",":",":",":"
"2014-10","2618148","383929","1041200","2651301","18004125","189193","2365394","3309727","15099949","11970793","489393","10685505","772630","418540","358264","218157","829087","421724","5611791","2267695","2218452","3030231","966097","117440","114021","1546467","3013014","311089","3393742","4205245","19720748",":",":",":",":"
